#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
177,J178,2,2,14.8,12.82,Picea mariana,2,2.18,NA,NA,NA,NA,NA,NA,NA
178,J179,2,2,14.6,13.07,Picea mariana,1.4,1.58,NA,NA,NA,NA,NA,NA,NA
179,J180,2,2,13.6,14.5,Picea mariana,0.9,1.54,NA,NA,NA,NA,NA,NA,NA
180,J181,2,2,13.4,15.46,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,NA,NA
181,J182,2,2,10.3,15.61,Picea mariana,0.4,1.37,NA,17,NA,25,8.4,0.9,1.45
182,J183,2,2,12.2,14.14,Picea mariana,2.1,1.99,NA,29,35,NA,0.1,2.3,2.13
183,J184,2,2,12.1,13.28,Picea mariana,1.3,1.75,NA,NA,NA,NA,NA,1.7,1.78
184,J185,2,2,11.9,11.65,Picea mariana,0.8,1.54,NA,NA,NA,NA,NA,0.9,1.55
185,J186,2,2,12.7,10.43,Picea mariana,5.6,4.97,NA,24,NA,28,0.3,5.9,5.1
186,J187,2,2,14.1,11.24,Picea mariana,4.9,4.69,36,33,59,40,0.7,5.2,4.75
187,J188,2,2,14.5,10.71,Picea mariana,NA,1.32,NA,NA,NA,NA,NA,NA,1.37
188,J189,2,2,15.1,10.51,Picea mariana,3.2,3.33,NA,NA,NA,NA,NA,3.2,3.52
189,J190,2,2,15.2,11.45,Picea mariana,2.3,2.17,NA,NA,NA,NA,NA,2.5,2.16
190,J191,2,2,16.3,10.23,Picea mariana,3,2.86,NA,NA,NA,NA,NA,3.5,3.04
191,J192,1,2,9.3,10.71,Picea mariana,3,2.41,NA,NA,NA,NA,NA,2.9,2.34
192,J193,1,2,8.8,11.14,Picea mariana,3.3,3.03,NA,NA,NA,NA,NA,3.5,3.11
193,J194,1,2,8.5,11.04,Picea mariana,2.2,2.45,NA,NA,NA,NA,NA,2.4,2.39
