Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;5;23;30;-5.10000;95.00000;0.00000;0.50000
2013;1;6;0;0;-6.20000;94.00000;0.00000;0.50000
2013;1;6;0;30;-6.60000;94.00000;0.00000;0.50000
2013;1;6;1;0;-6.20000;95.00000;0.00000;0.50000
2013;1;6;1;30;-6.60000;95.00000;0.00000;0.50000
2013;1;6;2;0;-6.80000;95.00000;0.00000;0.50000
2013;1;6;2;30;-6.80000;95.00000;0.00000;0.50000
2013;1;6;3;0;-6.70000;95.00000;0.00000;0.50000
2013;1;6;3;30;-6.50000;95.00000;0.00000;0.50000
2013;1;6;4;0;-6.30000;95.00000;0.00000;0.50000
2013;1;6;4;30;-6.40000;95.00000;0.00000;0.50000
2013;1;6;5;0;-6.80000;95.00000;0.00000;0.50000
2013;1;6;5;30;-7.60000;95.00000;0.00000;0.50000
2013;1;6;6;0;-8.70000;93.00000;0.00000;0.50000
2013;1;6;6;30;-9.00000;94.00000;0.00000;0.50000
2013;1;6;7;0;-9.00000;93.00000;0.00000;0.50000
2013;1;6;7;30;-9.30000;92.00000;0.00000;0.50000
2013;1;6;8;0;-10.40000;89.00000;0.00000;0.49000
2013;1;6;8;30;-11.10000;90.00000;0.00000;0.50000
2013;1;6;9;0;-11.60000;89.00000;0.00000;0.49000
2013;1;6;9;30;-11.90000;89.00000;0.00000;0.49000
2013;1;6;10;0;-12.30000;89.00000;0.00000;0.49000
2013;1;6;10;30;-12.50000;90.00000;0.00000;0.50000
2013;1;6;11;0;-12.70000;89.00000;0.00000;0.49000
2013;1;6;11;30;-13.40000;88.00000;0.00000;0.49000
2013;1;6;12;0;-13.70000;88.00000;0.00000;0.49000
2013;1;6;12;30;-14.17000;87.67000;0.00000;NaN
2013;1;6;13;0;-14.00000;89.00000;0.00000;0.50000
2013;1;6;13;30;-14.30000;88.00000;0.00000;0.50000
2013;1;6;14;0;-14.20000;88.00000;0.00000;0.50000
2013;1;6;14;30;-14.40000;87.00000;0.00000;0.50000
2013;1;6;15;0;-15.00000;87.00000;0.00000;0.50000
2013;1;6;15;30;-14.90000;87.00000;0.00000;0.49000
2013;1;6;16;0;-15.20000;88.00000;0.00000;0.50000
2013;1;6;16;30;-14.50000;89.00000;0.00000;0.50000
2013;1;6;17;0;-14.00000;89.00000;0.00000;0.50000
2013;1;6;17;30;-13.60000;89.00000;0.00000;0.50000
2013;1;6;18;0;-12.90000;89.00000;0.00000;0.50000
2013;1;6;18;30;-12.00000;91.00000;0.00000;0.50000
2013;1;6;19;0;-11.60000;91.00000;0.00000;0.50000
2013;1;6;19;30;-11.30000;91.00000;0.00000;0.50000
